step,loss,val_loss,lr,norm,dt_ms,tok_sec
0,11.983054,11.988411,0.000000,0.988129,4161.283691,1968.623413
1,12.008815,11.988411,0.000000,1.025000,493.487213,16600.228516
2,11.996106,11.988411,0.000000,0.980340,492.003937,16650.273438
3,11.981855,11.988411,0.000000,1.229280,493.436707,16601.927734
4,11.971661,11.988411,0.000000,1.050326,491.033478,16683.179688
5,11.971084,11.988411,0.000000,1.001771,493.300171,16606.521484
6,11.991488,11.988411,0.000000,1.079315,497.734497,16458.574219
7,11.907746,11.988411,0.000000,1.008824,494.835571,16554.994141
8,11.976612,11.988411,0.000000,1.074542,502.017090,16318.169922
9,11.958218,11.988411,0.000000,1.033319,502.227661,16311.328125
10,12.002026,11.988411,0.000000,1.063405,499.256836,16408.388672
11,11.951077,11.988411,0.000000,0.994431,503.533508,16269.027344
12,12.013621,11.988411,0.000000,1.018543,496.895020,16486.380859
13,11.978563,11.988411,0.000000,0.945273,497.403442,16469.527344
14,12.018123,11.988411,0.000000,1.062954,492.980316,16617.296875
15,12.039772,11.988411,0.000000,1.063604,495.926239,16518.585938
16,12.005373,11.988411,0.000001,1.158681,496.459076,16500.857422
17,12.015742,11.988411,0.000001,1.148817,495.833466,16521.675781
18,12.050720,11.988411,0.000001,1.116033,491.336578,16672.888672
19,11.963408,11.988411,0.000001,1.073355,493.759064,16591.087891
20,11.971562,11.988411,0.000001,1.143213,496.959381,16484.244141
21,11.967443,11.988411,0.000001,0.994638,497.560974,16464.314453
22,11.912829,11.988411,0.000001,1.065433,493.684082,16593.607422
23,12.000811,11.988411,0.000001,1.039383,492.703522,16626.630859
24,11.976942,11.988411,0.000001,1.065006,495.079224,16546.847656
25,11.950617,11.988411,0.000001,0.991229,495.464081,16533.994141
26,12.009748,11.988411,0.000001,0.999288,493.676239,16593.871094
27,11.968782,11.988411,0.000001,1.063983,498.773102,16424.302734
28,12.056439,11.988411,0.000001,1.158904,499.980469,16384.640625
29,11.965724,11.988411,0.000001,0.988007,495.851624,16521.070312
30,11.965177,11.988411,0.000001,1.038084,492.160614,16644.972656
31,12.009698,11.988411,0.000001,1.050190,498.616455,16429.460938
32,11.979711,11.988411,0.000001,1.077185,496.708557,16492.568359
33,11.987307,11.988411,0.000001,1.022671,497.186890,16476.701172
34,11.932230,11.988411,0.000001,1.104266,493.344727,16605.021484
35,11.981163,11.988411,0.000001,1.024417,497.503479,16466.216797
36,12.007254,11.988411,0.000001,1.007558,496.323517,16505.363281
37,11.970036,11.988411,0.000001,1.012665,497.024597,16482.082031
38,11.998603,11.988411,0.000001,1.014398,497.967957,16450.857422
39,12.014166,11.988411,0.000001,1.046753,494.149902,16577.964844
40,11.998957,11.988411,0.000001,1.046279,495.177948,16543.546875
41,11.987007,11.988411,0.000001,1.095445,493.196411,16610.015625
42,11.925797,11.988411,0.000001,1.035073,493.363007,16604.406250
43,11.937509,11.988411,0.000001,0.965815,490.728790,16693.539062
44,11.997192,11.988411,0.000001,1.021425,489.288666,16742.673828
45,11.915728,11.988411,0.000001,1.060867,493.944061,16584.875000
